Bagietka ziołowa 165 g,"2,39 zł"
Mini bagietka z cebulą 120 g,"1,39 zł"
Mini bagietka z czosnkiem 120 g,"1,39 zł"
BULKA 8 ZIAREN 6 szt.,"3,00 zł"
Bułeczka wiejska jasna,"0,89 zł"
Bułka 8 ziaren 80 g,"0,69 zł"
Bułka Kajzerka 50 g,"0,28 zł"
Bułka polska 40 g,"0,39 zł"
Bułka poznańska,"0,39 zł"
Bułka śniadaniowa 70 g,"0,69 zł"
Bułka wiejska jasna 80 g,"1,39 zł"
Bułka wrocławska 400 g,"2,69 zł"
Bułki pszenne 6 x 80 g,"2,19 zł"
Ciabatta cebulowa 70 g,"0,69 zł"
Ciabatta naturalna 70 g,"0,69 zł"
Kajzerka z makiem 50 g,"0,35 zł"
Kajzerka z sezamem 50 g,"0,35 zł"
Kajzerki 10 sztuk,"2,00 zł"
Obwarzanek z sezamem 120 g,"1,39 zł"
Bułeczka wiejska ciemna,"0,89 zł"
Bułka fińska ze słonecznikiem 50 g,"0,89 zł"
Bułka graham 50 g,"0,39 zł"
Bułka kornecken 55 g,"0,89 zł"
Bułka wiejska ciemna 80 g,"1,39 zł"
Bułka wieloziarnista kwadrat 70 g,"0,89 zł"
Bułka z dynią 50 g,"0,69 zł"
Kajzerka wieloziarnista 55 g,"0,69 zł"
Kajzerka żytnia 50 g,"0,69 zł"
Paluch rustico 80 g,"1,39 zł"
Brześć Groszek ptysiowy 125 g,"3,99 zł"
Bułka z serem 70 g,"1,49 zł"
Cebularz z serem 110 g,"2,79 zł"
Fantazja z pieczarkami 120 g,"2,99 zł"
Grzanki pomidorowe,"1,50 zł"
Grzanki ser cebula,"1,50 zł"
Kapuśniaczek 100 g,"1,29 zł"
Paluch z serem i boczkiem 80 g,"1,49 zł"
Pasztecik grzybowy 75 g,"1,29 zł"
Pizza z boczkiem mini 120 g,"1,99 zł"
Pizzerina 110 g,"2,99 zł"
Przekąska półfrancuska gyros 100 g,"2,99 zł"
Przysmak Cygański 120 g,"2,99 zł"
